dock
kennyrkun
7
1
16
16
0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,
0,0,0,0,0,0,2,2,2,2,0,0,0,0,2,3,
0,0,0,0,0,0,0,2,2,2,2,0,0,2,2,3,
0,0,0,2,0,0,0,0,2,2,2,2,0,0,2,3,
0,0,2,2,0,2,0,0,0,0,2,2,2,2,2,3,
0,2,2,2,2,2,0,0,0,2,2,0,2,2,2,0,
2,2,2,0,0,2,2,0,2,2,2,0,0,0,0,0,
2,2,0,0,0,0,2,2,2,0,0,0,0,0,1,1,
2,2,0,0,0,0,2,2,2,0,0,1,1,1,5,1,
2,2,0,0,0,0,2,2,2,0,1,1,1,5,5,5,
2,2,0,0,0,0,2,2,0,1,5,1,5,5,5,4,
2,2,2,0,0,2,2,2,1,1,4,5,5,4,4,4,
2,5,5,1,1,1,2,5,1,1,5,5,5,4,4,4,
1,5,5,5,1,1,1,5,5,1,4,5,4,4,4,4,
1,1,5,5,5,5,1,1,5,4,5,5,4,4,4,4,
1,1,1,5,5,5,4,4,4,4,4,4,4,4,4,4,
